id,relid,year,start_year,end_year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,iso3,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
,,#date+year,#date+year+start,#date+year+end,,,,,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,,#adm1+name,#adm2+name,#geo+lat,#country+code,#geo+lon,,,#country+name,,#region+name,,,#date+start,#date+end,,,,,#affected+killed,,,,
147997,UKR-2014-1-14085-0,2014,2014,2014,1,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,5,"""Agence France Presse,2014-01-22,Police disperse Kiev protest, activists say one shot dead"";""Agence France Presse,2014-01-22,Two activists shot dead during Ukraine protests: prosecutors sjw/ma/dh"";""Agence France Presse,2014-01-22,Two shot dead as Ukraine police storm Kiev protest"";""Agence France Presse,2014-01-22,Five dead as Ukraine police launch assault on protesters"";""Agence France Presse,2014-01-25,One more Ukrainian protester dies of wounds in hospital: official""",Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse,2014-01-22;2014-01-22;2014-01-22;2014-01-22;2014-01-25,"Police disperse Kiev protest, activists say one shot dead;Two activists shot dead during Ukraine protests: prosecutors sjw/ma/dh;Two shot dead as Ukraine police storm Kiev protest;Five dead as Ukraine police launch assault on protesters;One more Ukrainian protester dies of wounds in hospital: official","Maidan protesters, General Prosecutor of Ukraine",1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican City,,50.450000,UKR,30.523330,POINT (30.523330 50.450000),202022,Ukraine,369,Europe,1,1,2014-01-22 00:00:00.000,2014-01-22 00:00:00.000,0,5,0,0,5,5,5,369,
149221,UKR-2014-1-14085-1,2014,2014,2014,1,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,1,"""Reuters News,2014-01-27,Dead man found hanging on Kiev's Independence Square - police""",Reuters News,2014-01-27,Dead man found hanging on Kiev's Independence Square - police,Ukrainian police,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican City,,50.450000,UKR,30.523330,POINT (30.523330 50.450000),202022,Ukraine,369,Europe,1,1,2014-01-27 00:00:00.000,2014-01-27 00:00:00.000,0,0,0,1,1,1,1,369,
149248,UKR-2014-1-14085-3,2014,2014,2014,1,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,9,"""Reuters News,2014-02-18,UKRAINE PARLIAMENTARY DEPUTY SAYS ON FACEBOOK THAT THREE DEAD BODIES OF PROTESTERS ARE IN A BUILDING CLOSE TO PARLIAMENT"";""Reuters Pictures,2014-02-19,A wounded person lies on the ground after clashes in central Kiev"";""Reuters News,2014-02-18,Ukraine police battle protesters after nation's bloodiest day"";""Agence France Presse,2014-02-19,Four protesters killed in police assault on Kiev camp: opposition"";""Associated Press Newswires,2014-02-19,Biden urges Ukraine gov't to show restraint"";""Reuters News,2014-02-20,WRAPUP 2-Ukraine president agrees truce with opponents as U.S. imposes visa bans"";""Reuters News,2014-02-19,Ukraine must keep its military away from protests, Pentagon says"";""Agence France Presse,2014-02-19,Two days of bloody unrest in Ukraine"";""Agence France Presse,2014-02-19,Two days of bloody unrest in Ukraine""",Reuters News;Reuters Pictures;Reuters News;Agence France Presse;Associated Press Newswires;Reuters News;Reuters News;Agence France Presse;Agence France Presse,2014-02-18;2014-02-19;2014-02-18;2014-02-19;2014-02-19;2014-02-20;2014-02-19;2014-02-19;2014-02-19,"UKRAINE PARLIAMENTARY DEPUTY SAYS ON FACEBOOK THAT THREE DEAD BODIES OF PROTESTERS ARE IN A BUILDING CLOSE TO PARLIAMENT;A wounded person lies on the ground after clashes in central Kiev;Ukraine police battle protesters after nation's bloodiest day;Four protesters killed in police assault on Kiev camp: opposition;Biden urges Ukraine gov't to show restraint;WRAPUP 2-Ukraine president agrees truce with opponents as U.S. imposes visa bans;Ukraine must keep its military away from protests, Pentagon says;Two days of bloody unrest in Ukraine;Two days of bloody unrest in Ukraine","Maidan representatives, police, news correspondents reporting from the site of the events, officials",1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican City,,50.450000,UKR,30.523330,POINT (30.523330 50.450000),202022,Ukraine,369,Europe,1,1,2014-02-18 00:00:00.000,2014-02-18 00:00:00.000,10,4,0,12,26,26,26,369,
149251,UKR-2014-1-14085-6,2014,2014,2014,1,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,1,"""Reuters News,2014-02-22,WRAPUP 9-Ukraine parliament removes Yanukovich, who flees Kiev in ""coup""""",Reuters News,2014-02-22,"WRAPUP 9-Ukraine parliament removes Yanukovich, who flees Kiev in ""coup""",,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican City,,50.450000,UKR,30.523330,POINT (30.523330 50.450000),202022,Ukraine,369,Europe,2,2,2014-02-18 00:00:00.000,2014-02-21 00:00:00.000,0,0,0,6,6,6,6,369,
149249,UKR-2014-1-14085-4,2014,2014,2014,1,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,1,"""Agence France Presse,2014-02-20,Ukraine death toll rises to 28: ministry""",Agence France Presse,2014-02-20,Ukraine death toll rises to 28: ministry,Ukraine's health ministry,1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican City,,50.450000,UKR,30.523330,POINT (30.523330 50.450000),202022,Ukraine,369,Europe,2,2,2014-02-18 00:00:00.000,2014-02-20 00:00:00.000,0,0,0,2,2,2,2,369,
149250,UKR-2014-1-14085-5,2014,2014,2014,1,Clear,1,13219,13219,Ukraine: Government,14085,14085,Government of Ukraine - Maidan,61,61,Government of Ukraine,5817,5817,Maidan,8,"""Agence France Presse,2014-02-21,Ukraine rivals sign deal to end crisis"";""Agence France Presse,2014-02-21,Three days of deadly unrest in Ukraine"";""ITAR-TASS World Service,2014-02-20,Two police commandoes die in fire at riot police base in Ukraine’s Lvov"";""Agence France Presse,2014-02-20,At least 67 killed in this week's Kiev clashes: authorities"";""Agence France Presse,2014-02-20,Dozens dead on Ukraine's deadliest day"";""Reuters News,2014-02-20,WRAPUP 9-Ukraine truce shattered, death toll hits 67"";""ITAR-TASS World Service,2014-02-20,WRAP: Death toll in Kiev clashes rises to 35 - Ukraine Health Ministry"";""BBC News,2014-04-03,Special police shot Kiev protesters, inquiry says""",Agence France Presse;Agence France Presse;ITAR-TASS World Service;Agence France Presse;Agence France Presse;Reuters News;ITAR-TASS World Service;BBC News,2014-02-21;2014-02-21;2014-02-20;2014-02-20;2014-02-20;2014-02-20;2014-02-20;2014-04-03,"Ukraine rivals sign deal to end crisis;Three days of deadly unrest in Ukraine;Two police commandoes die in fire at riot police base in Ukraine’s Lvov;At least 67 killed in this week's Kiev clashes: authorities;Dozens dead on Ukraine's deadliest day;WRAPUP 9-Ukraine truce shattered, death toll hits 67;WRAP: Death toll in Kiev clashes rises to 35 - Ukraine Health Ministry;Special police shot Kiev protesters, inquiry says","Maidan, police, city hall, reporters transmitting from the site, Ministry of health, new authorities",1,Kiev city,Kiev/Kyiv city (Maidan Nezalezhnosti protest camp),Kiev Special Republican City,,50.450000,UKR,30.523330,POINT (30.523330 50.450000),202022,Ukraine,369,Europe,1,1,2014-02-20 00:00:00.000,2014-02-20 00:00:00.000,2,46,0,0,48,67,48,369,
153030,UKR-2014-2-14113-1,2014,2014,2014,1,Clear,2,14113,13240,Supporters of independence for Eastern Ukraine - Supporters of Ukrainian unity,14113,14113,Supporters of independence for Eastern Ukraine - Supporters of Ukrainian unity,5837,5837,Supporters of independence for Eastern Ukraine,5836,5836,Supporters of Ukrainian unity,4,"""Agence France Presse,2014-05-02,Death toll from Odessa violence rises to 3: police"";""Office of the United Nations High Commissioner for Human Rights,2014-06-15,Report on the human rights situation in Ukraine 15 June 2014"";""BBC,2014-05-06,How did Odessa's fire happen?"";""Reuters News,2014-05-03,FACTBOX-Ukraine says groups from Moldova's Transdniestria stir unrest in Odessa""",Agence France Presse;Office of the United Nations High Commissioner for Human Rights;BBC;Reuters News,2014-05-02;2014-06-15;2014-05-06;2014-05-03,Death toll from Odessa violence rises to 3: police;Report on the human rights situation in Ukraine 15 June 2014;How did Odessa's fire happen?;FACTBOX-Ukraine says groups from Moldova's Transdniestria stir unrest in Odessa,Ukrainian authorities,1,Odessa town,Odessa town,Odessa Oblast,Odessa City Municipality,46.466667,UKR,30.733333,POINT (30.733333 46.466667),196262,Ukraine,369,Europe,1,1,2014-05-02 00:00:00.000,2014-05-02 00:00:00.000,0,0,0,45,45,45,45,,
149866,UKR-2014-1-14124-0,2014,2014,2014,1,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,2,"""Reuters News,2014-04-13,One Ukrainian state security officer killed, 5 others wounded - interior minister"";""Agence France Presse,2014-04-13,Ukraine in bloody battle to oust pro-Russian gunmen""",Reuters News;Agence France Presse,2014-04-13;2014-04-13,"One Ukrainian state security officer killed, 5 others wounded - interior minister;Ukraine in bloody battle to oust pro-Russian gunmen",Ukraine interior minister,1,Sloviansk town,Sloviansk town,Donetsk Oblast,Sloviansk Raion,48.853333,UKR,37.625000,POINT (37.625000 48.853333),199876,Ukraine,369,Europe,1,1,2014-04-12 00:00:00.000,2014-04-12 00:00:00.000,1,2,0,0,3,3,3,369,
155086,UKR-2014-1-14124-89,2014,2014,2014,1,Clear,1,13246,13246,Ukraine: Donetsk,14124,14124,Government of Ukraine - DPR,61,61,Government of Ukraine,5840,5840,DPR,1,"""UN,2014-08-17,Office of the United Nations High Commissioner for Human Rights""",UN,2014-08-17,Office of the United Nations High Commissioner for Human Rights,UN quoting medical authorities,4,Donetsk Oblast,Donetsk oblast,Donetsk Oblast,,48.140000,UKR,37.740000,POINT (37.740000 48.140000),199156,Ukraine,369,Europe,2,5,2014-04-12 00:00:00.000,2014-08-17 00:00:00.000,0,0,0,228,228,35,35,369,
